epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,635.869,2.44152,1.56669,2.0314,0.94996,0.92235,0.95705,0.62946,1.62101,1.60683,1.75108,0.000555021,0.000555021,0.000555021
2,1781.6,1.14646,0.64189,1.07544,0.96318,0.94178,0.97073,0.74989,1.2255,1.12982,1.4767,0.00105571,0.00105571,0.00105571
3,3327.52,0.91506,0.53116,0.98089,0.97167,0.94648,0.97016,0.79896,1.10892,inf,1.41434,0.00150138,0.00150138,0.00150138
4,3988.04,0.78392,0.46995,0.93801,0.97571,0.94906,0.98501,0.85458,0.98281,0.79423,1.35978,0.00141945,0.00141945,0.00141945
5,5375.12,0.69053,0.42809,0.9121,0.97694,0.95232,0.98618,0.8797,0.90233,0.75261,1.3022,0.00133693,0.00133693,0.00133693
6,5928.28,0.63896,0.40047,0.89924,0.97476,0.95435,0.9861,0.89276,0.86873,0.73619,1.29003,0.00125442,0.00125442,0.00125442
7,6564.65,0.60179,0.38455,0.88884,0.97477,0.95854,0.98894,0.90611,0.82793,0.65904,1.26586,0.0011719,0.0011719,0.0011719
8,7718.59,0.5713,0.36394,0.88289,0.97346,0.9583,0.98997,0.91425,0.79925,0.63916,1.24376,0.00108938,0.00108938,0.00108938
9,8446.06,0.55193,0.35503,0.87484,0.97689,0.95874,0.99098,0.92522,0.74947,0.58328,1.2118,0.00100687,0.00100687,0.00100687
10,9054.21,0.52492,0.34065,0.86882,0.97172,0.9681,0.99168,0.92904,0.73741,0.57583,1.2041,0.000924352,0.000924352,0.000924352
11,9627.64,0.50269,0.33021,0.87382,0.97542,0.96238,0.99102,0.92325,0.72935,0.55165,1.19423,0.000841835,0.000841835,0.000841835
12,10223.2,0.48093,0.31873,0.86681,0.98071,0.96752,0.99218,0.93111,0.71199,0.53732,1.18491,0.000759318,0.000759318,0.000759318
13,10856.5,0.45308,0.30001,0.85957,0.98514,0.96518,0.99255,0.93793,0.68761,0.51393,1.17412,0.000676802,0.000676802,0.000676802
14,11349.6,0.44084,0.29081,0.85532,0.9803,0.96871,0.99189,0.94056,0.6599,0.49829,1.14675,0.000594286,0.000594286,0.000594286
15,11876.2,0.41818,0.27852,0.85144,0.98378,0.9736,0.99276,0.9466,0.64514,0.47903,1.13949,0.000511769,0.000511769,0.000511769
16,12444.3,0.40212,0.27208,0.84754,0.98479,0.97561,0.99284,0.95423,0.61573,0.46816,1.12319,0.000429253,0.000429253,0.000429253
17,12983.2,0.37507,0.25726,0.8411,0.9857,0.97734,0.99356,0.9569,0.59803,0.44119,1.10776,0.000346736,0.000346736,0.000346736
18,13528.5,0.35876,0.24382,0.83741,0.98567,0.97842,0.99338,0.96007,0.57846,0.42873,1.0958,0.00026422,0.00026422,0.00026422
19,14144.8,0.34197,0.23584,0.83476,0.98815,0.97604,0.99379,0.96461,0.56237,0.41717,1.08546,0.000181703,0.000181703,0.000181703
20,14703.3,0.32442,0.22694,0.83099,0.98714,0.98285,0.99398,0.96739,0.54962,0.40461,1.07752,9.91865e-05,9.91865e-05,9.91865e-05
