epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.625,3.19237,3.00948,3.51605,0.60842,0.39384,0.42146,0.1805,2.67688,3.2616,3.17909,0.000554047,0.000554047,0.000554047
2,206.008,2.05733,1.7953,2.2459,0.79366,0.56553,0.67101,0.40282,2.14827,2.73763,2.50931,0.00108774,0.00108774,0.00108774
3,303.959,1.67711,1.41083,1.87561,0.8139,0.63038,0.73326,0.43259,2.0574,2.27133,2.36908,0.00159943,0.00159943,0.00159943
4,399.579,1.55646,1.30112,1.76169,0.77504,0.62923,0.7379,0.49218,1.89853,2.46962,2.24162,0.00156798,0.00156798,0.00156798
5,494.286,1.4059,1.17681,1.6428,0.86173,0.67167,0.79713,0.5354,1.76044,2.03978,2.09479,0.00153497,0.00153497,0.00153497
6,586.867,1.35778,1.10211,1.58927,0.84805,0.71192,0.82422,0.58059,1.69841,1.64966,2.02787,0.00150197,0.00150197,0.00150197
7,680.303,1.29141,1.04155,1.53782,0.88254,0.7061,0.83455,0.59979,1.65234,1.64762,1.96272,0.00146896,0.00146896,0.00146896
8,772.504,1.23784,0.99521,1.48906,0.90129,0.71657,0.83732,0.6006,1.58439,1.46328,1.87558,0.00143595,0.00143595,0.00143595
9,865.175,1.19081,0.92363,1.45631,0.88512,0.73377,0.85674,0.63041,1.5553,1.44263,1.86245,0.00140295,0.00140295,0.00140295
10,957.091,1.17685,0.91929,1.44692,0.85037,0.79583,0.87285,0.64872,1.49826,1.35161,1.82103,0.00136994,0.00136994,0.00136994
11,1049.4,1.14589,0.89247,1.41261,0.90096,0.73972,0.87137,0.63771,1.4861,1.31882,1.7902,0.00133693,0.00133693,0.00133693
12,1142.05,1.11079,0.8614,1.39367,0.86288,0.79043,0.8791,0.66523,1.44165,1.25392,1.74962,0.00130393,0.00130393,0.00130393
13,1234.48,1.08129,0.83631,1.36105,0.87229,0.79149,0.88267,0.66015,1.47452,1.2515,1.76092,0.00127092,0.00127092,0.00127092
14,1327,1.0911,0.84398,1.36076,0.88116,0.79141,0.89287,0.68461,1.39331,1.172,1.70489,0.00123791,0.00123791,0.00123791
15,1420.05,1.04431,0.79241,1.34163,0.87973,0.79731,0.88998,0.68374,1.38863,1.20467,1.68589,0.00120491,0.00120491,0.00120491
16,1512.16,1.05488,0.78658,1.34429,0.88904,0.80237,0.89964,0.68801,1.37005,1.12716,1.66656,0.0011719,0.0011719,0.0011719
17,1605.14,1.0365,0.77508,1.32614,0.88087,0.81996,0.90302,0.68616,1.3668,1.13333,1.66249,0.00113889,0.00113889,0.00113889
18,1697.49,1.02212,0.76232,1.31762,0.90567,0.7865,0.90156,0.69756,1.35039,1.10831,1.65392,0.00110589,0.00110589,0.00110589
19,1789.24,1.00904,0.74606,1.30908,0.8824,0.83551,0.90917,0.71005,1.31533,1.0842,1.62161,0.00107288,0.00107288,0.00107288
20,1881.81,0.97256,0.72636,1.28774,0.88114,0.8287,0.90851,0.713,1.28956,1.06754,1.59101,0.00103987,0.00103987,0.00103987
21,1973.9,0.98053,0.72963,1.28716,0.89284,0.80948,0.90989,0.71419,1.27968,1.05351,1.57772,0.00100687,0.00100687,0.00100687
22,2065.94,0.96921,0.72553,1.28325,0.89842,0.82686,0.91358,0.72178,1.24918,1.00688,1.55079,0.000973861,0.000973861,0.000973861
23,2157.87,0.9823,0.73056,1.28596,0.91042,0.79864,0.9109,0.71259,1.25978,0.99891,1.56045,0.000940855,0.000940855,0.000940855
24,2250.19,0.96434,0.71582,1.27827,0.87736,0.82842,0.91462,0.72481,1.24477,0.99105,1.54696,0.000907848,0.000907848,0.000907848
25,2342.12,0.93636,0.68779,1.24385,0.91713,0.80189,0.91328,0.72199,1.24285,0.98424,1.54143,0.000874842,0.000874842,0.000874842
26,2434.1,0.93837,0.69059,1.259,0.8999,0.83845,0.91732,0.73544,1.20044,0.9714,1.50481,0.000841835,0.000841835,0.000841835
27,2525.98,0.93902,0.69696,1.25829,0.89135,0.85634,0.92357,0.73903,1.19609,0.9669,1.49532,0.000808828,0.000808828,0.000808828
28,2618.9,0.92594,0.672,1.23915,0.90968,0.85873,0.92885,0.74889,1.18292,0.94636,1.47625,0.000775822,0.000775822,0.000775822
29,2710.45,0.92699,0.68544,1.24937,0.90128,0.86831,0.929,0.74483,1.18531,0.92159,1.48122,0.000742815,0.000742815,0.000742815
30,2802.15,0.92655,0.6779,1.24882,0.91998,0.86607,0.93262,0.75357,1.17132,0.90251,1.46621,0.000709809,0.000709809,0.000709809
31,2893.67,0.90813,0.66187,1.22612,0.89781,0.86006,0.92971,0.75475,1.14969,0.89862,1.45081,0.000676802,0.000676802,0.000676802
32,2984.75,0.90544,0.65066,1.23226,0.91136,0.86452,0.93389,0.75737,1.15302,0.8939,1.44851,0.000643795,0.000643795,0.000643795
33,3076.86,0.88795,0.64664,1.2178,0.9264,0.86021,0.93709,0.7646,1.13298,0.8729,1.43362,0.000610789,0.000610789,0.000610789
34,3168.67,0.86462,0.6276,1.20328,0.91633,0.86984,0.9351,0.76159,1.13059,0.86337,1.42257,0.000577782,0.000577782,0.000577782
35,3260.09,0.87943,0.63532,1.20415,0.92257,0.87178,0.93715,0.76308,1.14002,0.86783,1.42328,0.000544776,0.000544776,0.000544776
36,3351.77,0.87776,0.63082,1.20471,0.93811,0.87239,0.94034,0.77005,1.1125,0.85201,1.40817,0.000511769,0.000511769,0.000511769
37,3443.07,0.86499,0.62387,1.19746,0.94108,0.87137,0.94052,0.77385,1.10835,0.83376,1.39828,0.000478762,0.000478762,0.000478762
38,3534.2,0.87692,0.63078,1.20887,0.93874,0.88243,0.94279,0.77497,1.09023,0.83173,1.38963,0.000445756,0.000445756,0.000445756
39,3625.4,0.84842,0.60264,1.19181,0.93269,0.88129,0.94083,0.77457,1.09213,0.81491,1.38906,0.000412749,0.000412749,0.000412749
40,3716.6,0.83994,0.60108,1.1794,0.93664,0.88687,0.94549,0.78148,1.07502,0.80713,1.37697,0.000379743,0.000379743,0.000379743
41,3847.47,0.84781,0.59363,1.20182,0.93734,0.87562,0.94337,0.77406,1.08441,0.80979,1.38288,0.000346736,0.000346736,0.000346736
42,3940.35,0.82888,0.56389,1.18942,0.94872,0.88549,0.94916,0.78547,1.06774,0.79204,1.37068,0.000313729,0.000313729,0.000313729
43,4030.43,0.81893,0.55842,1.17674,0.94538,0.89081,0.94965,0.78579,1.06172,0.76639,1.35866,0.000280723,0.000280723,0.000280723
44,4131.76,0.79882,0.53796,1.16822,0.95057,0.88842,0.95112,0.7918,1.04279,0.76012,1.34775,0.000247716,0.000247716,0.000247716
45,4236.19,0.81497,0.54756,1.1803,0.94801,0.89345,0.95208,0.79517,1.02934,0.74648,1.33318,0.00021471,0.00021471,0.00021471
46,4340.82,0.78343,0.52306,1.16094,0.95246,0.89562,0.95408,0.79788,1.02526,0.74516,1.32855,0.000181703,0.000181703,0.000181703
47,4431.77,0.78624,0.52981,1.1646,0.95554,0.89279,0.95459,0.80079,1.01129,0.73309,1.31862,0.000148696,0.000148696,0.000148696
48,4530.48,0.76501,0.51076,1.14689,0.95587,0.89643,0.95573,0.80183,1.00685,0.72516,1.31359,0.00011569,0.00011569,0.00011569
49,4613.29,0.75981,0.51157,1.14593,0.95765,0.89658,0.95608,0.80368,1.00515,0.72354,1.31469,8.26832e-05,8.26832e-05,8.26832e-05
50,4704.53,0.76103,0.50415,1.14095,0.9569,0.8967,0.95635,0.80539,0.99719,0.71779,1.30931,4.96766e-05,4.96766e-05,4.96766e-05
