epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1459,3.60497,3.86892,4.27917,0.00076,0.01667,0.0004,0.00014,4.00478,3.98531,4.15972,0.00038341,0.00038341,0.00038341
2,50.0239,3.40581,3.28325,3.98224,0.00096,0.02117,0.0006,0.00019,4.02861,4.16933,4.1961,0.000705924,0.000705924,0.000705924
3,56.4869,3.33079,2.96389,3.72792,0.00123,0.02859,0.00075,0.00025,4.01685,4.21715,4.22655,0.000949223,0.000949223,0.000949223
4,62.7569,3.16803,2.88932,3.52692,0.00083,0.03208,0.00051,0.00018,3.98984,4.29738,4.19317,0.00111331,0.00111331,0.00111331
5,69.0499,3.05794,2.76426,3.36365,0.00358,0.05828,0.00253,0.00052,3.91252,3.91717,4.10062,0.00100687,0.00100687,0.00100687
6,75.6499,3.00482,2.64822,3.19656,0.02305,0.12283,0.03753,0.02013,3.6857,4.09249,3.92337,0.000841835,0.000841835,0.000841835
7,82.8247,2.92517,2.5466,3.08993,0.31655,0.14998,0.21013,0.0802,3.37701,3.31261,3.43391,0.000676802,0.000676802,0.000676802
8,89.8617,2.90404,2.56441,3.00758,0.51369,0.24602,0.30239,0.10809,2.92653,2.97561,3.14435,0.000511769,0.000511769,0.000511769
9,96.5307,2.79093,2.52205,2.94712,0.83268,0.25368,0.32666,0.14303,2.91751,2.72746,3.01497,0.000346736,0.000346736,0.000346736
10,103.158,2.63506,2.30058,2.80293,0.53064,0.36382,0.38614,0.19543,2.83882,2.67322,2.94834,0.000181703,0.000181703,0.000181703
